Encoding Date,Form Number,Name,Barangay,Zoning_Code,Lot_Area_sqm,Application Type,Purpose,Assessment Fee
2022-04-19,U-982697,Jose Alday,San Carlos,PDA-SZ,15669.23,Locational Clearance,Farm Development Permit,6783.65
2022-04-19,U-376628,Benjamin Torres,Leviste,,,Zoning Certificate,Industrial Park Expansion,468.87
2022-04-19,U-562996,Batangas Logistics Inc.,Bagong Pook,R1-Z,314.46,Zoning Certificate,Subdivision Phase 1,430.69
2022-04-20,U-606527,Batangas Gold Commercial Center,Tiquiwan,PDA-SZ,6493.29,Development Permit,Farm Development Permit,98815.42
2022-04-20,U-515697,David Santos,Santa Cruz,,,Locational Clearance,Residential Construction,12505.49
2022-04-20,U-474579,Southern Luzon Realty & Development,Balibago,R2-Z,120.77,Locational Clearance,Residential Construction,8240.86
2022-04-20,U-471861,Sofia Sanchez,Macalamcam B,R1-Z,177.64,Locational Clearance,Subdivision Phase 1,9350.45
2022-04-20,U-196699,Maria Bautista,Timbugan,PDA-SZ,15157.17,Locational Clearance,Farm Development Permit,4915.84
2022-04-20,U-880166,Jose Sanchez,Poblacion E,R1-Z,147.91,Locational Clearance,Subdivision Phase 1,2157.05
2022-04-20,U-691733,Angel Comia,Itlugan,PDA-SZ,10113.18,Locational Clearance,Farm Development Permit,12982.73
2022-04-20,U-702664,Teresa Mendoza,Bayawang,AgIndZ,3877.93,Locational Clearance,Warehouse/Factory Construction,14514.6
2022-04-20,U-193244,Maria Reyes,Colongan,R1-Z,203.88,Locational Clearance,Bank Financing Requirement,19987.01
2022-04-20,U-461928,Luz Gonzales,Poblacion E,R2-Z,212.39,Locational Clearance,Subdivision Phase 1,5003.15
2022-04-20,U-417861,Juan Perez,Masaya,PDA-SZ,15774.07,Locational Clearance,Land Title Verification,16670.85
2022-04-20,U-086714,Christian Fernandez,Santa Cruz,R2-Z,198.59,Zoning Certificate,Bank Financing Requirement,358.75
2022-04-21,U-320828,Ramon Comia,Namuco,I1-Z,2564.93,Locational Clearance,Warehouse/Factory Construction,12207.19
2022-04-21,U-830764,Victoria Garcia,Itlugan,R2-Z,176.27,Locational Clearance,Bank Financing Requirement,20334.72
2022-04-21,U-859078,Luz Lopez,Alupay,I2-Z,5734.68,Locational Clearance,Environmental Compliance,2887.31
2022-04-21,U-171020,Benjamin Rodriguez,Tulos,PTA-SZ-RA,5195.69,Locational Clearance,Bank Financing Requirement,2345.23
2022-04-21,U-736191,Mark Lopez,Poblacion C,C2-Z,357.59,Locational Clearance,Business Permit Requirement,9084.65
2022-04-22,U-385280,Luzon Integrated Trading Corp.,Santa Cruz,,,Locational Clearance,Bank Financing Requirement,8712.36
2022-04-22,U-493900,Angel Mendoza,Pinagsibaan,,,Locational Clearance,Residential Construction,14909.63
2022-04-22,U-128877,Ramon Sanchez,Matamis,,,Locational Clearance,Commercial Building Construction,4031.56
2022-04-22,U-633311,Luz Cruz,Poblacion D,,,Locational Clearance,Subdivision Phase 1,3843.51
2022-04-22,U-173512,Teresa Gonzales,Namunga,R2-Z,224.26,Locational Clearance,Bank Financing Requirement,3475.58
2022-04-22,U-122348,Danilo Ramos,San Carlos,PDA-SZ,17587.87,Locational Clearance,Farm Development Permit,3491.64
2022-04-22,U-840376,Ramon Garcia,Bulihan,R1-Z,198.99,Zoning Certificate,Residential Construction,293.32
2022-04-25,U-337967,Southern Luzon Realty & Development,Pinagsibaan,AgIndZ,3676.76,Locational Clearance,Warehouse/Factory Construction,17212.85
2022-04-25,U-883981,Daniel Torres,Poblacion D,R2-Z,140.67,Locational Clearance,Subdivision Phase 1,21192.58
2022-04-25,U-803718,Luz Perez,Alupay,I1-Z,4089.06,Locational Clearance,Environmental Compliance,12775.46
2022-04-25,U-585177,Corazon Gonzales,Bagong Pook,R1-Z,263.1,Locational Clearance,Bank Financing Requirement,5481.19
2022-04-25,U-514346,Juan Ramos,San Isidro,R2-Z,113.43,Locational Clearance,Subdivision Phase 1,16556.86
2022-04-25,U-798478,Chloe Alday,Santa Cruz,R1-Z,324.55,Locational Clearance,Residential Construction,7124.86
2022-04-25,U-276484,Benjamin Comia,San Roque,R1-Z,227.38,Locational Clearance,Subdivision Phase 1,8452.8
2022-04-25,U-192710,Chloe Perez,Alupay,,,Zoning Certificate,Environmental Compliance,415.05
2022-04-26,U-232015,Batangas Trading Corp.,Baybayin,R2-Z,221.49,Development Permit,Bank Financing Requirement,94259.17
2022-04-26,U-688888,Emmanuel Bautista,Alupay,AgIndZ,6705.32,Locational Clearance,Environmental Compliance,20358.92
2022-04-26,U-000591,Mark Alday,San Carlos,AgIndZ-PTR,8431.84,Locational Clearance,Subdivision Phase 1,5416.34
2022-04-26,U-134920,Benjamin Lopez,Alupay,I1-Z,1811.34,Locational Clearance,Industrial Park Expansion,19246.74
2022-04-26,U-737383,Christian Mendoza,Calantas,5491-APDA-SZ,2018.82,Locational Clearance,Farm Development Permit,7152.55
2022-04-26,U-571501,Batangas Gold Trading Corp.,Cahigam,R2-Z,151.18,Zoning Certificate,Bank Financing Requirement,442.46
2022-04-27,U-080120,Batangas Gold Trading Corp.,Bayawang,AgIndZ,5639.7,Development Permit,Industrial Park Expansion,73827.69
2022-04-27,U-874710,Danilo Alday,San Roque,GI-Z,694.28,Development Permit,Environmental Compliance,120637.57
2022-04-27,U-554790,Benjamin Ramos,Alupay,,,Locational Clearance,Warehouse/Factory Construction,2982.9
2022-04-27,U-106187,Batangas Gold Enterprises,Quilib,R2-Z,219.64,Locational Clearance,Subdivision Phase 1,20475.27
2022-04-27,U-192888,Maria Macalalad,Leviste,C1-Z,184.03,Locational Clearance,Commercial Building Construction,12653.13
2022-04-27,U-007473,Chloe Fernandez,Namuco,PDA-SZ,4753.28,Locational Clearance,Land Title Verification,13503.88
2022-04-27,U-431063,Mark Ramos,Marilag,R1-Z,211.29,Locational Clearance,Residential Construction,7681.25
2022-04-27,U-174692,Daniel Reyes,San Carlos,UTS-Z,2076.18,Zoning Certificate,General Property Clearance,388.23
2022-04-28,U-250260,Ramon Gonzales,Quilib,C1-Z,487.13,Development Permit,Business Permit Requirement,68142.11
2022-04-28,U-636057,Antonio Torres,Palakpak,,,Locational Clearance,Commercial Building Construction,7582.02
2022-04-28,U-213018,Benjamin Alday,Pinagsibaan,AgIndZ-PGR,6140.24,Locational Clearance,Residential Construction,21255.34
2022-04-28,U-953494,Maria Garcia,Balibago,R2-Z,190.18,Locational Clearance,Bank Financing Requirement,18905.7
2022-04-28,U-066911,Agri-Ventures Enterprises,Alupay,I3-Z,5441.25,Locational Clearance,Environmental Compliance,6910.78
2022-04-28,U-781538,Juan Fernandez,Pinagsibaan,I1-Z,3601.58,Locational Clearance,Environmental Compliance,5022.44
2022-04-28,U-398419,Sofia Reyes,Masaya,R2-Z,174.56,Locational Clearance,Subdivision Phase 1,19215.43
2022-04-28,U-764274,Luz Reyes,Baybayin,R2-Z,218.05,Locational Clearance,Subdivision Phase 1,2939.36
2022-04-28,U-010498,Grace Castillo,Namunga,R1-Z,178.63,Zoning Certificate,Residential Construction,261.44
2022-04-29,U-276834,David Mendoza,Putingkahoy,,,Locational Clearance,Bank Financing Requirement,10656.97
2022-04-29,U-938611,Jose Gonzales,Quilib,R1-Z,178.93,Locational Clearance,Bank Financing Requirement,8529.81
2022-04-29,U-628329,Angel Macalalad,San Roque,C1-Z,337.64,Locational Clearance,Commercial Complex Development,8531.23
2022-04-29,U-723850,Sofia Perez,Poblacion D,C2-Z,410.08,Locational Clearance,Commercial Building Construction,16898.41
2022-04-29,U-001481,Benjamin Bautista,Poblacion B,C2-Z,597.74,Locational Clearance,Business Permit Requirement,11060.8
2022-05-02,U-193722,Antonio Garcia,Santa Cruz,R2-Z,162.03,Locational Clearance,Bank Financing Requirement,14764.09
2022-05-02,U-565602,Prime Logistics Inc.,Leviste,R1-Z,309.72,Locational Clearance,Bank Financing Requirement,11614.56
2022-05-02,U-489113,Mark Garcia,Bagong Pook,R2-Z,198.98,Locational Clearance,Subdivision Phase 1,10955.54
2022-05-02,U-477904,Angel Gonzales,Bulihan,R1-Z,229.9,Locational Clearance,Residential Construction,19079.08
2022-05-02,U-664364,Angel Perez,Nasi,R2-Z,144.5,Locational Clearance,Residential Construction,4435.08
2022-05-02,U-019084,Luzon Integrated Enterprises,San Isidro,R1-Z,159.32,Locational Clearance,Subdivision Phase 1,9204.44
2022-05-02,U-683243,Maria Reyes,Natu,R2-Z,153.6,Locational Clearance,Bank Financing Requirement,11324.86
2022-05-02,U-864833,Ramon Garcia,Tulos,PTA-SZ-RA,19727.13,Locational Clearance,Subdivision Phase 1,9760.45
2022-05-02,U-220039,Teresa Torres,San Carlos,I2-Z,2129.44,Zoning Certificate,Industrial Park Expansion,426.37
2022-05-04,U-701441,Agri-Ventures Realty & Development,Poblacion A,C2-Z,318.09,Development Permit,Commercial Building Construction,50428.81
2022-05-04,U-383671,Rosario Commercial Center,Bagong Pook,,,Locational Clearance,Business Permit Requirement,4606.65
2022-05-04,U-167641,Maria Dimaculangan,Macalamcam A,R1-Z,230.92,Locational Clearance,Residential Construction,11969.23
2022-05-04,U-615286,Chloe Reyes,San Roque,C1-Z,306.29,Locational Clearance,Business Permit Requirement,15170.77
2022-05-04,U-466352,Luz Sanchez,Calantas,PDA-SZ,9660.14,Locational Clearance,Agribusiness Construction,11141.58
2022-05-04,U-401170,Emmanuel Garcia,Tulos,ECT-Z,1799.93,Locational Clearance,Business Permit Requirement,7613.43
2022-05-04,U-867067,Jose Dimaculangan,Antipolo,R2-Z,221.89,Locational Clearance,Bank Financing Requirement,3593.96
2022-05-04,U-445442,Sofia Perez,Namunga,C1-Z,277.92,Locational Clearance,Business Permit Requirement,11883.16
2022-05-04,U-376288,Benjamin Torres,Palakpak,R2-Z,177.48,Locational Clearance,Residential Construction,7233.21
2022-05-04,U-296866,David Macalalad,Poblacion A,C2-Z,226.06,Locational Clearance,Commercial Building Construction,20390.94
2022-05-04,U-841824,Southern Luzon Enterprises,Quilib,GI-Z,1955.67,Locational Clearance,Warehouse/Factory Construction,11068.59
2022-05-04,U-992430,Jose Ramos,Alupay,AgIndZ-PGR,5866.37,Zoning Certificate,Residential Construction,477.69
2022-05-04,U-948285,Luz Mendoza,Mabunga,R1-Z,256.21,Zoning Certificate,Bank Financing Requirement,319.93
2022-05-04,U-585924,Corazon Torres,Marilag,C/MP-Z,2350.7,Zoning Certificate,Commercial Complex Development,335.31
2022-05-05,U-335133,Christian Ramos,Maalas-As,,,Locational Clearance,Residential Construction,4833.3
2022-05-05,U-196016,Corazon Mendoza,Masaya,R1-Z,121.95,Locational Clearance,Residential Construction,3297.91
2022-05-05,U-971330,Angel Mendoza,Quilib,R2-Z,246.27,Locational Clearance,Residential Construction,4875.28
2022-05-05,U-964015,Victoria Mendoza,Poblacion E,C1-Z,232.82,Locational Clearance,Commercial Complex Development,10498.63
2022-05-05,U-245124,Rosario Logistics Inc.,San Jose,R1-Z,332.04,Locational Clearance,Subdivision Phase 1,4694.51
2022-05-05,U-353111,Luz Macalalad,San Roque,R2-Z,248.6,Locational Clearance,Subdivision Phase 1,5517.59
2022-05-06,U-343256,Antonio Dimaculangan,Mayuro,,,Locational Clearance,Agribusiness Construction,5934.32
2022-05-06,U-673467,Christian Lopez,San Isidro,R2-Z,110.15,Locational Clearance,Residential Construction,9068.0
2022-05-06,U-402661,Grace Alday,Matamis,C1-Z,228.7,Locational Clearance,Commercial Building Construction,11391.67
2022-05-06,U-366090,Grace Mendoza,Santa Cruz,R1-Z,255.35,Locational Clearance,Residential Construction,21706.32
2022-05-06,U-255700,Juan Torres,Antipolo,,,Zoning Certificate,Bank Financing Requirement,253.36
2022-05-10,U-342573,Jose Rodriguez,Balibago,,,Locational Clearance,Land Title Verification,14672.79
2022-05-10,U-534858,Daniel Santos,Antipolo,PDA-SZ,16235.98,Locational Clearance,Land Title Verification,12298.69
2022-05-10,U-877451,Maria Santos,Tulos,,,Zoning Certificate,General Property Clearance,419.04
2022-05-10,U-131219,David Ramos,Calantas,FR-SZ,11296.85,Zoning Certificate,Residential Construction,455.96
2022-05-11,U-198717,Agri-Ventures Trading Corp.,Poblacion E,C2-Z,312.0,Development Permit,Business Permit Requirement,29454.95
2022-05-11,U-941282,Prime Logistics Inc.,Balibago,R2-Z,207.65,Development Permit,Subdivision Phase 1,103256.72
2022-05-11,U-891700,Mark Torres,Colongan,,,Locational Clearance,Subdivision Phase 1,2096.02
2022-05-11,U-193156,Southern Luzon Logistics Inc.,Quilib,BR2-SZ,145.75,Locational Clearance,Subdivision Phase 1,13923.99
2022-05-11,U-449784,Ramon Rodriguez,Maalas-As,R2-Z,87.54,Locational Clearance,Bank Financing Requirement,6629.59
2022-05-11,U-810347,Batangas Commercial Center,Bagong Pook,R1-Z,291.97,Locational Clearance,Residential Construction,3805.7
2022-05-11,U-977610,Maria Sanchez,San Isidro,R1-Z,194.36,Locational Clearance,Bank Financing Requirement,7998.48
2022-05-11,U-222567,Agri-Ventures Commercial Center,Cahigam,R1-Z,111.01,Locational Clearance,Bank Financing Requirement,7363.89
2022-05-11,U-698484,Batangas Gold Holdings Inc.,Baybayin,R2-Z,188.1,Locational Clearance,Subdivision Phase 1,6910.26
2022-05-11,U-680727,Sofia Lopez,Mabunga,R2-Z,230.41,Locational Clearance,Subdivision Phase 1,13984.73
2022-05-11,U-250002,Batangas Logistics Inc.,Poblacion E,R1-Z,346.36,Locational Clearance,Subdivision Phase 1,7753.93
2022-05-11,U-121953,Juan Mercado,Pinagsibaan,,,Zoning Certificate,Warehouse/Factory Construction,385.07
2022-05-11,U-368326,Christian Torres,Leviste,R2-Z,207.3,Zoning Certificate,Bank Financing Requirement,364.08
2022-05-11,U-319015,Maria Alday,Santa Cruz,R2-Z,144.66,Zoning Certificate,Subdivision Phase 1,425.88
2022-05-12,U-938957,Batangas Trading Corp.,Alupay,I3-Z,6651.6,Locational Clearance,Environmental Compliance,11718.18
2022-05-12,U-371835,Sofia Garcia,Poblacion A,C2-Z,392.74,Locational Clearance,Business Permit Requirement,11903.51
2022-05-12,U-055433,Batangas Farms Corp.,Nasi,R1-Z,178.16,Locational Clearance,Residential Construction,9743.5
2022-05-12,U-709420,Luzon Integrated Holdings Inc.,Poblacion C,R1-Z,267.19,Locational Clearance,Bank Financing Requirement,1792.24
2022-05-12,U-183129,Juan Mendoza,Poblacion B,C1-Z,269.48,Zoning Certificate,Business Permit Requirement,464.66
2022-05-13,U-428877,Batangas Gold Trading Corp.,Santa Cruz,R1-Z,267.18,Development Permit,Residential Construction,32905.36
2022-05-13,U-583458,Teresa Garcia,Mabato,,,Locational Clearance,Farm Development Permit,14724.57
2022-05-13,U-724816,Emmanuel Comia,Alupay,,,Locational Clearance,Industrial Park Expansion,12332.69
2022-05-13,U-938534,Daniel Ramos,Pinagsibaan,UTS-Z,1603.05,Locational Clearance,Site Development Permit,12232.76
2022-05-13,U-133411,Mark Macalalad,Balibago,R2-Z,228.92,Locational Clearance,Subdivision Phase 1,15388.28
2022-05-13,U-663283,Victoria Torres,Bagong Pook,R2-Z,203.66,Locational Clearance,Subdivision Phase 1,15538.6
2022-05-13,U-612491,Daniel Alday,Namuco,I2-Z,5371.91,Locational Clearance,Industrial Park Expansion,6548.16
2022-05-13,U-659226,Corazon Santos,Bagong Pook,R2-Z,248.89,Locational Clearance,Subdivision Phase 1,17514.54
2022-05-13,U-273005,Corazon Bautista,Namuco,I1-Z,4155.67,Locational Clearance,Environmental Compliance,20480.4
2022-05-13,U-681963,Prime Holdings Inc.,Masaya,R2-Z,96.18,Zoning Certificate,Subdivision Phase 1,273.67
2022-05-13,U-550139,Batangas Enterprises,Santa Cruz,C1-Z,319.39,Zoning Certificate,Business Permit Requirement,454.17
2022-05-13,U-354268,Antonio Santos,San Roque,BR2-SZ,109.72,Zoning Certificate,Bank Financing Requirement,352.95
2022-05-16,U-165061,Luzon Integrated Holdings Inc.,Baybayin,R2-Z,215.75,Development Permit,Bank Financing Requirement,100570.85
2022-05-16,U-262848,Batangas Realty & Development,Bagong Pook,BR2-SZ,124.46,Locational Clearance,Bank Financing Requirement,5142.11
2022-05-16,U-093781,Mark Cruz,Tulos,PTA-SZ-RA,19177.46,Locational Clearance,Residential Construction,20091.29
2022-05-16,U-097552,Danilo Comia,Poblacion C,MR2-SZ,193.11,Locational Clearance,Bank Financing Requirement,20801.79
2022-05-16,U-529348,Benjamin Gonzales,Bagong Pook,R2-Z,95.44,Locational Clearance,Subdivision Phase 1,12132.33
2022-05-16,U-534276,Luz Castillo,Santa Cruz,R1-Z,123.38,Locational Clearance,Bank Financing Requirement,7781.12
2022-05-16,U-228353,Batangas Gold Commercial Center,Quilib,BR2-SZ,111.0,Locational Clearance,Subdivision Phase 1,15022.38
2022-05-16,U-809396,Batangas Holdings Inc.,Tulos,PTA-SZ-RA,4297.58,Locational Clearance,Subdivision Phase 1,3766.59
2022-05-17,U-542201,Batangas Gold Farms Corp.,Masaya,,,Locational Clearance,Residential Construction,11892.24
2022-05-17,U-057380,Antonio Rodriguez,Bayawang,AgIndZ-PTR,3029.79,Locational Clearance,Subdivision Phase 1,16895.39
2022-05-17,U-416026,Corazon Reyes,Itlugan,R1-Z,112.94,Locational Clearance,Bank Financing Requirement,3777.7
2022-05-17,U-492517,Corazon Sanchez,Masaya,R2-Z,218.62,Locational Clearance,Subdivision Phase 1,11534.73
2022-05-17,U-974352,Juan Bautista,Nasi,PTA-SZ-RA,18492.0,Locational Clearance,Residential Construction,14321.77
2022-05-17,U-531128,Southern Luzon Enterprises,Timbugan,C1-Z,494.79,Locational Clearance,Commercial Building Construction,3222.01
2022-05-17,U-815292,Angel Castillo,San Roque,R2-Z,152.02,Locational Clearance,Bank Financing Requirement,9091.71
2022-05-17,U-873542,Rosario Realty & Development,Calantas,PDA-SZ,12245.25,Locational Clearance,Land Title Verification,17162.85
2022-05-17,U-542817,Batangas Gold Commercial Center,Pinagsibaan,CMRF,823.82,Locational Clearance,Facility/Structure Construction,8868.39
2022-05-18,U-543701,Jose Rodriguez,San Roque,R2-Z,82.0,Locational Clearance,Subdivision Phase 1,16502.64
2022-05-18,U-550644,Rosario Farms Corp.,Cahigam,R2-Z,139.45,Locational Clearance,Residential Construction,7868.17
2022-05-19,U-560103,Angel Perez,Pinagsibaan,,,Locational Clearance,Facility/Structure Construction,7008.79
2022-05-19,U-604602,Rosario Commercial Center,Masaya,R2-Z,144.32,Locational Clearance,Bank Financing Requirement,8072.92
2022-05-19,U-671682,Corazon Gonzales,Poblacion A,R1-Z,183.33,Locational Clearance,Subdivision Phase 1,7215.56
2022-05-19,U-387116,Ramon Mercado,Poblacion E,MR2-SZ,135.41,Locational Clearance,Bank Financing Requirement,4168.19
2022-05-19,U-922804,Juan Sanchez,Bagong Pook,R2-Z,235.59,Locational Clearance,Subdivision Phase 1,19935.45
2022-05-19,U-797416,Maria Bautista,Alupay,I1-Z,3278.01,Locational Clearance,Environmental Compliance,6357.19
2022-05-19,U-158650,Christian Reyes,San Isidro,,,Zoning Certificate,Subdivision Phase 1,374.99
2022-05-19,U-398260,Maria Dimaculangan,Quilib,,,Zoning Certificate,Bank Financing Requirement,414.78
2022-05-20,U-896718,Batangas Logistics Inc.,Palakpak,R1-Z,344.47,Development Permit,Subdivision Phase 1,124494.65
2022-05-20,U-844865,Teresa Mercado,Maalas-As,,,Locational Clearance,Business Permit Requirement,2320.77
2022-05-20,U-917080,Prime Realty & Development,Bulihan,R1-Z,150.92,Locational Clearance,Subdivision Phase 1,18826.15
2022-05-20,U-567038,Danilo Castillo,Natu,C1-Z,245.99,Locational Clearance,Commercial Building Construction,14145.74
2022-05-20,U-674692,Batangas Farms Corp.,Namunga,BR2-SZ,178.06,Locational Clearance,Subdivision Phase 1,18484.25
2022-05-20,U-000031,Luz Santos,Santa Cruz,C1-Z,449.61,Locational Clearance,Commercial Complex Development,6635.84
2022-05-20,U-758163,Luzon Integrated Enterprises,Poblacion B,C1-Z,364.4,Locational Clearance,Commercial Building Construction,20051.1
2022-05-20,U-598306,Corazon Torres,Leviste,,,Zoning Certificate,Residential Construction,387.9
2022-05-23,U-899005,Chloe Torres,Baybayin,GI-Z,2244.36,Locational Clearance,Environmental Compliance,3484.12
2022-05-23,U-212145,Christian Lopez,Namunga,R1-Z,164.24,Locational Clearance,Bank Financing Requirement,18107.95
2022-05-23,U-440136,Angel Gonzales,Mabato,ECT-Z,6573.05,Locational Clearance,Commercial Building Construction,2636.27
2022-05-23,U-067304,David Perez,Mabato,FZ,28302.21,Locational Clearance,General Property Clearance,5929.85
2022-05-23,U-281843,Teresa Dimaculangan,Matamis,PDA-SZ,9278.54,Zoning Certificate,Agribusiness Construction,449.71
2022-05-24,U-532021,Rosario Enterprises,Poblacion A,C2-Z,555.46,Development Permit,Commercial Complex Development,109127.18
2022-05-24,U-142328,Daniel Gonzales,San Roque,C1-Z,401.82,Locational Clearance,Commercial Complex Development,2557.17
2022-05-24,U-749771,Mark Sanchez,Cahigam,R1-Z,206.36,Locational Clearance,Residential Construction,3104.18
2022-05-24,U-233724,Maria Santos,Balibago,R1-Z,104.86,Locational Clearance,Subdivision Phase 1,9517.61
2022-05-24,U-408205,Ramon Castillo,Namunga,R1-Z,122.27,Locational Clearance,Residential Construction,3596.33
2022-05-24,U-108610,Mark Fernandez,Putingkahoy,FR-SZ,9279.98,Locational Clearance,Bank Financing Requirement,11429.38
2022-05-24,U-879207,David Cruz,Quilib,R2-Z,244.16,Locational Clearance,Subdivision Phase 1,20320.22
2022-05-24,U-978314,Jose Dimaculangan,Santa Cruz,BR2-SZ,148.71,Locational Clearance,Residential Construction,12849.33
2022-05-24,U-069856,Victoria Gonzales,Leviste,R1-Z,337.98,Locational Clearance,Bank Financing Requirement,13908.73
2022-05-24,U-374963,Chloe Alday,Santa Cruz,R2-Z,166.56,Locational Clearance,Subdivision Phase 1,16486.17
2022-05-24,U-404833,Maria Gonzales,Mayuro,R1-Z,176.46,Locational Clearance,Subdivision Phase 1,11341.95
2022-05-24,U-114679,Chloe Alday,Leviste,R2-Z,117.67,Zoning Certificate,Residential Construction,356.6
2022-05-25,U-617063,Danilo Ramos,Poblacion A,,,Locational Clearance,Bank Financing Requirement,9003.65
2022-05-25,U-864237,Christian Sanchez,Cahigam,R1-Z,249.8,Locational Clearance,Bank Financing Requirement,18401.05
2022-05-25,U-776915,Ramon Dimaculangan,Antipolo,PDA-SZ,12702.1,Locational Clearance,Farm Development Permit,19764.67
2022-05-26,U-372348,Danilo Comia,Nasi,R2-Z,173.58,Locational Clearance,Bank Financing Requirement,6357.8
2022-05-26,U-599578,Teresa Castillo,Itlugan,R1-Z,337.73,Locational Clearance,Bank Financing Requirement,19933.89
2022-05-26,U-481719,David Mendoza,Balibago,R1-Z,100.44,Locational Clearance,Bank Financing Requirement,16960.45
2022-05-26,U-884842,Luz Sanchez,Poblacion A,MR2-SZ,181.23,Locational Clearance,Bank Financing Requirement,7263.79
2022-05-26,U-174951,Daniel Garcia,Poblacion B,C1-Z,322.96,Locational Clearance,Business Permit Requirement,13562.31
2022-05-26,U-137902,David Santos,Palakpak,R2-Z,127.41,Locational Clearance,Subdivision Phase 1,9917.4
2022-05-26,U-039541,Emmanuel Mendoza,Baybayin,R1-Z,240.16,Locational Clearance,Bank Financing Requirement,11088.89
2022-05-26,U-766289,Victoria Comia,San Carlos,I1-Z,1889.46,Locational Clearance,Industrial Park Expansion,2019.99
2022-05-27,U-172293,Rosario Logistics Inc.,San Isidro,AgIndZ,2507.77,Development Permit,Industrial Park Expansion,116576.24
2022-05-27,U-806628,Daniel Fernandez,Poblacion A,C1-Z,269.91,Locational Clearance,Commercial Building Construction,19902.29
2022-05-27,U-614248,Juan Sanchez,Santa Cruz,R2-Z,115.77,Locational Clearance,Bank Financing Requirement,8455.46
2022-05-27,U-745818,Mark Reyes,Poblacion A,MR2-SZ,60.75,Locational Clearance,Bank Financing Requirement,11693.07
2022-05-27,U-727434,Rosario Commercial Center,San Isidro,R1-Z,330.02,Locational Clearance,Subdivision Phase 1,13003.76
2022-05-27,U-186555,David Gonzales,Bagong Pook,R1-Z,106.42,Locational Clearance,Bank Financing Requirement,5903.54
2022-05-27,U-496477,Daniel Macalalad,Balibago,PTA-SZ-RA,10696.95,Zoning Certificate,Residential Construction,375.95
2022-05-30,U-851953,Christian Cruz,Namunga,R2-Z,106.97,Locational Clearance,Subdivision Phase 1,3115.08
2022-05-30,U-656856,Agri-Ventures Commercial Center,Cahigam,R1-Z,335.03,Locational Clearance,Bank Financing Requirement,12835.29
2022-05-30,U-348704,Christian Macalalad,Poblacion A,R1-Z,232.98,Zoning Certificate,Residential Construction,445.06
2022-05-30,U-327088,Luz Alday,Calantas,PDA-SZ,16920.95,Zoning Certificate,Land Title Verification,492.23
2022-05-31,U-009609,Batangas Gold Realty & Development,Salao,C1-Z,194.95,Development Permit,Commercial Building Construction,43865.02
2022-05-31,U-266026,Batangas Gold Logistics Inc.,Antipolo,,,Locational Clearance,Warehouse/Factory Construction,9762.21
2022-05-31,U-347171,Southern Luzon Commercial Center,Palakpak,,,Locational Clearance,Subdivision Phase 1,4171.17
2022-05-31,U-128339,Victoria Reyes,Balibago,R1-Z,245.83,Locational Clearance,Subdivision Phase 1,6558.73
2022-05-31,U-730098,Juan Perez,Marilag,GI-Z,1396.56,Locational Clearance,Industrial Park Expansion,2988.43
2022-05-31,U-617873,Victoria Mercado,Bagong Pook,BR2-SZ,65.23,Locational Clearance,Bank Financing Requirement,8091.44
2022-06-01,U-520197,Batangas Enterprises,Nasi,R1-Z,280.43,Locational Clearance,Subdivision Phase 1,20214.43
2022-06-02,U-659377,Grace Rodriguez,Palakpak,,,Locational Clearance,Residential Construction,5466.33
2022-06-02,U-618609,Agri-Ventures Enterprises,San Carlos,AgIndZ-PTR,7204.02,Locational Clearance,Bank Financing Requirement,19864.87
2022-06-02,U-919983,Jose Bautista,Alupay,AgIndZ,4022.22,Zoning Certificate,Industrial Park Expansion,497.42
2022-06-03,U-798297,Corazon Dimaculangan,Maalas-As,R1-Z,272.86,Locational Clearance,Bank Financing Requirement,17238.74
2022-06-03,U-148643,David Santos,Baybayin,R2-Z,131.3,Zoning Certificate,Bank Financing Requirement,463.46
2022-06-06,U-347252,Maria Castillo,Mabato,THSP-SZ,6973.37,Development Permit,Facility/Structure Construction,63830.57
2022-06-06,U-485258,Danilo Alday,Putingkahoy,PDA-SZ,4093.27,Locational Clearance,Agribusiness Construction,4660.72
2022-06-06,U-462792,Benjamin Mercado,San Carlos,CMRF,1563.4,Locational Clearance,General Property Clearance,6267.64
2022-06-07,U-281597,Agri-Ventures Trading Corp.,Poblacion B,R1-Z,207.31,Locational Clearance,Bank Financing Requirement,16805.07
2022-06-07,U-119169,Victoria Torres,Colongan,R1-Z,327.01,Locational Clearance,Subdivision Phase 1,11645.29
2022-06-08,U-434988,Benjamin Mendoza,Santa Cruz,C1-Z,355.14,Locational Clearance,Commercial Building Construction,19867.93
2022-06-08,U-198270,Victoria Castillo,Alupay,AgIndZ,2666.59,Locational Clearance,Environmental Compliance,14800.16
2022-06-08,U-939944,Maria Fernandez,Poblacion C,R1-Z,139.35,Locational Clearance,Bank Financing Requirement,11929.26
2022-06-08,U-971549,Jose Ramos,Pinagsibaan,AgIndZ,7597.31,Locational Clearance,Environmental Compliance,5311.69
2022-06-08,U-206196,Benjamin Gonzales,Namunga,C1-Z,400.55,Locational Clearance,Commercial Complex Development,17685.81
2022-06-10,U-106897,Ramon Cruz,Alupay,I3-Z,3801.4,Zoning Certificate,Warehouse/Factory Construction,302.13
2022-06-13,U-052862,Grace Comia,Santa Cruz,R2-Z,159.06,Locational Clearance,Residential Construction,15448.6
